words,productive,condition,response_plausable,type_template
signatorily,1,condition 1,1,lexicographer 
assemblyless,1,condition 1,1,lexicographer 
benchish,1,condition 1,0,lexicographer 
delveable,1,condition 1,1,lexicographer 
lunchify,1,condition 1,1,lexicographer 
platialise,0,condition 1,1,lexicographer 
violinious,0,condition 1,1,lexicographer 
musksome,0,condition 1,1,lexicographer 
containary,0,condition 1,1,lexicographer 
shallowen,0,condition 1,1,lexicographer 
signatorily,1,condition 2,0,lexicographer 
assemblyless,1,condition 2,0,lexicographer 
benchish,1,condition 2,0,lexicographer 
delveable,1,condition 2,0,lexicographer 
lunchify,1,condition 2,1,lexicographer 
platialise,0,condition 2,0,lexicographer 
violinious,0,condition 2,0,lexicographer 
musksome,0,condition 2,0,lexicographer 
containary,0,condition 2,0,lexicographer 
shallowen,0,condition 2,0,lexicographer 
signatorily,1,condition 3,1,lexicographer 
assemblyless,1,condition 3,1,lexicographer 
benchish,1,condition 3,0,lexicographer 
delveable,1,condition 3,1,lexicographer 
lunchify,1,condition 3,1,lexicographer 
platialise,0,condition 3,1,lexicographer 
violinious,0,condition 3,0,lexicographer 
musksome,0,condition 3,1,lexicographer 
containary,0,condition 3,0,lexicographer 
shallowen,0,condition 3,0,lexicographer 
signatorily,1,condition 4,0,lexicographer 
assemblyless,1,condition 4,1,lexicographer 
benchish,1,condition 4,0,lexicographer 
delveable,1,condition 4,1,lexicographer 
lunchify,1,condition 4,1,lexicographer 
platialise,0,condition 4,0,lexicographer 
violinious,0,condition 4,0,lexicographer 
musksome,0,condition 4,0,lexicographer 
containary,0,condition 4,0,lexicographer 
shallowen,0,condition 4,0,lexicographer 
signatorily,1,condition 1,1,generator
assemblyless,1,condition 1,1,generator
benchish,1,condition 1,1,generator
delveable,1,condition 1,1,generator
lunchify,1,condition 1,1,generator
platialise,0,condition 1,1,generator
violinious,0,condition 1,1,generator
musksome,0,condition 1,1,generator
containary,0,condition 1,1,generator
shallowen,0,condition 1,1,generator
signatorily,1,condition 2,0,generator
assemblyless,1,condition 2,1,generator
benchish,1,condition 2,1,generator
delveable,1,condition 2,1,generator
lunchify,1,condition 2,1,generator
platialise,0,condition 2,1,generator
violinious,0,condition 2,0,generator
musksome,0,condition 2,0,generator
containary,0,condition 2,0,generator
shallowen,0,condition 2,0,generator
signatorily,1,condition 3,1,generator
assemblyless,1,condition 3,1,generator
benchish,1,condition 3,1,generator
delveable,1,condition 3,1,generator
lunchify,1,condition 3,1,generator
platialise,0,condition 3,1,generator
violinious,0,condition 3,1,generator
musksome,0,condition 3,0,generator
containary,0,condition 3,1,generator
shallowen,0,condition 3,1,generator
signatorily,1,condition 4,1,generator
assemblyless,1,condition 4,1,generator
benchish,1,condition 4,1,generator
delveable,1,condition 4,1,generator
lunchify,1,condition 4,1,generator
platialise,0,condition 4,1,generator
violinious,0,condition 4,1,generator
musksome,0,condition 4,1,generator
containary,0,condition 4,1,generator
shallowen,0,condition 4,1,generator
signatorily,1,condition 1,1,define
assemblyless,1,condition 1,1,define
benchish,1,condition 1,1,define
delveable,1,condition 1,1,define
lunchify,1,condition 1,1,define
platialise,0,condition 1,1,define
violinious,0,condition 1,1,define
musksome,0,condition 1,1,define
containary,0,condition 1,1,define
shallowen,0,condition 1,0,define
signatorily,1,condition 2,0,define
assemblyless,1,condition 2,1,define
benchish,1,condition 2,0,define
delveable,1,condition 2,0,define
lunchify,1,condition 2,0,define
platialise,0,condition 2,0,define
violinious,0,condition 2,0,define
musksome,0,condition 2,0,define
containary,0,condition 2,0,define
shallowen,0,condition 2,0,define
signatorily,1,condition 3,0,define
assemblyless,1,condition 3,1,define
benchish,1,condition 3,0,define
delveable,1,condition 3,1,define
lunchify,1,condition 3,1,define
platialise,0,condition 3,1,define
violinious,0,condition 3,1,define
musksome,0,condition 3,0,define
containary,0,condition 3,0,define
shallowen,0,condition 3,1,define
signatorily,1,condition 4,0,define
assemblyless,1,condition 4,1,define
benchish,1,condition 4,0,define
delveable,1,condition 4,1,define
lunchify,1,condition 4,1,define
platialise,0,condition 4,1,define
violinious,0,condition 4,0,define
musksome,0,condition 4,0,define
containary,0,condition 4,0,define
shallowen,0,condition 4,0,define
signatorily,1,condition 1,0,infinite_generation
assemblyless,1,condition 1,1,infinite_generation
benchish,1,condition 1,1,infinite_generation
delveable,1,condition 1,1,infinite_generation
lunchify,1,condition 1,1,infinite_generation
platialise,0,condition 1,0,infinite_generation
violinious,0,condition 1,1,infinite_generation
musksome,0,condition 1,1,infinite_generation
containary,0,condition 1,1,infinite_generation
shallowen,0,condition 1,1,infinite_generation
signatorily,1,condition 2,1,infinite_generation
assemblyless,1,condition 2,1,infinite_generation
benchish,1,condition 2,1,infinite_generation
delveable,1,condition 2,1,infinite_generation
lunchify,1,condition 2,1,infinite_generation
platialise,0,condition 2,1,infinite_generation
violinious,0,condition 2,1,infinite_generation
musksome,0,condition 2,1,infinite_generation
containary,0,condition 2,0,infinite_generation
shallowen,0,condition 2,1,infinite_generation
signatorily,1,condition 3,1,infinite_generation
assemblyless,1,condition 3,1,infinite_generation
benchish,1,condition 3,0,infinite_generation
delveable,1,condition 3,1,infinite_generation
lunchify,1,condition 3,0,infinite_generation
platialise,0,condition 3,0,infinite_generation
violinious,0,condition 3,1,infinite_generation
musksome,0,condition 3,0,infinite_generation
containary,0,condition 3,0,infinite_generation
shallowen,0,condition 3,0,infinite_generation
signatorily,1,condition 4,1,infinite_generation
assemblyless,1,condition 4,1,infinite_generation
benchish,1,condition 4,1,infinite_generation
delveable,1,condition 4,1,infinite_generation
lunchify,1,condition 4,1,infinite_generation
platialise,0,condition 4,1,infinite_generation
violinious,0,condition 4,0,infinite_generation
musksome,0,condition 4,1,infinite_generation
containary,0,condition 4,0,infinite_generation
shallowen,0,condition 4,1,infinite_generation
signatorily,1,condition 1,1,context_manager
